activity,governance_lead,identity_admin,security_soc,compliance_data_admin,ai_developer
S0 Baseline assessment & operating model,R,C,C,C,C
S1 Identity authority & access,A,R,C,C,C
S2 Data governance & compliance,A,C,C,R,C
S3 Platform & trust boundaries,A,C,R,C,C
S4 Agent engineering & admission,A,C,C,C,R
S5 API tool & MCP governance,A,C,R,C,C
S6 Runtime assurance,A,C,R,C,C
S7 Evaluation & release assurance,A,C,C,C,R
S8 Adversarial testing & remediation,A,C,R,C,C
S9 Control plane catalog & lifecycle,R,C,C,C,C
S10 In-process governance,A,C,R,C,R
S11 Operate monitor & FinOps,R,C,C,C,C
S13 Portfolio governance & improvement,R,C,C,C,C
