domain,domain_name,question_id,question,concept_explanation,weight,score
D0,Operating model,D0Q1,"Accountabilities for governing AI systems are explicit and empowered.","Decision rights identify who sponsors an AI capability, who owns its risks, and who can approve, pause, or retire it. Clear authority prevents important decisions from being deferred between teams.",2,
D0,Operating model,D0Q2,"AI use cases are inventoried and risk-tiered before delivery begins.","The inventory records purpose, owner, users, data, tools, autonomy, and potential impact. Risk tiering makes the required evidence and approvals proportionate to the use case.",1,
D0,Operating model,D0Q3,"Governance decisions, exceptions, and review dates are recorded.","A durable record links a decision to its evidence, approver, conditions, and expiry or review date. This allows teams to revisit accepted risk as a system or its context changes.",1,
D1,Identity / authority,D1Q1,"Each AI system has a distinct workload identity and accountable sponsor.","A distinct identity separates access and activity from other workloads. A named sponsor remains accountable for purpose, access justification, review, and retirement.",2,
D1,Identity / authority,D1Q2,"Permissions are least-privilege, time-bounded where appropriate, and regularly reviewed.","Access is limited to approved resources and actions, with a repeatable review that removes access no longer required. Privileged paths have stronger authorization and evidence.",1,
D1,Identity / authority,D1Q3,"Delegated authority for autonomous actions has defined limits and escalation paths.","Teams specify which actions may proceed automatically, which need confirmation, and when the system must stop or hand off to a person. Limits match the action's potential impact.",1,
D2,Data,D2Q1,"Data used by AI systems is classified and handled according to its sensitivity.","Controls apply to prompts, retrieved content, outputs, training or evaluation material, and logs. Teams know which data is permitted for each purpose and environment.",2,
D2,Data,D2Q2,"Data access, retention, and deletion are governed throughout the AI system lifecycle.","Data paths have owners, defined retention periods, and a way to remove or correct data when required. Lifecycle changes do not leave unmanaged copies or access.",1,
D2,Data,D2Q3,"Data quality, lineage, and usage constraints are visible for important AI decisions.","Teams can identify material sources, their fitness for purpose, and restrictions on reuse. Known limitations are communicated to the people making risk and release decisions.",1,
D3,Platform / trust boundaries,D3Q1,"AI workloads are deployed through defined platform patterns with documented trust boundaries.","The architecture distinguishes users, workloads, data stores, model services, tools, and administrative planes. Boundary controls are reviewed when the design changes.",2,
D3,Platform / trust boundaries,D3Q2,"Network, secret, and environment controls separate development, testing, and production.","Sensitive credentials are protected and workloads receive only the connectivity and configuration intended for their environment. Promotion does not rely on copying uncontrolled settings.",1,
D3,Platform / trust boundaries,D3Q3,"Platform dependencies and configuration changes are inventoried and assessed.","Teams maintain a usable view of components, dependencies, and material configuration. Changes are traceable to an owner, review, and rollback approach.",1,
D4,Engineering / admission,D4Q1,"AI systems meet defined engineering admission criteria before they enter a shared platform.","Admission checks establish required ownership, architecture evidence, data handling, identity, and operational readiness. Criteria are proportionate and have an exception process.",2,
D4,Engineering / admission,D4Q2,"Changes are versioned, reviewed, and reproducible across code, prompts, data, and configuration.","A team can determine what changed, who approved it, and how to recreate the candidate behavior. This supports reliable investigation and rollback.",1,
D4,Engineering / admission,D4Q3,"Third-party components are assessed before use and maintained after admission.","Teams understand material dependencies, licenses or use conditions, support status, and known risks. Ownership includes applying updates or removing unsuitable components.",1,
D5,Tool / API / MCP,D5Q1,"Tools, APIs, and model context protocol connections are registered with explicit purpose and owner.","The register identifies the capability, data and actions exposed, authorization model, owner, and approved consumers. Unregistered connections are not silently introduced.",2,
D5,Tool / API / MCP,D5Q2,"Tool calls are authorized, constrained, and validated at the boundary.","The system verifies identity, scope, inputs, outputs, and action limits before a call can affect another system. High-impact actions require stronger controls or human confirmation.",1,
D5,Tool / API / MCP,D5Q3,"External tool and protocol dependencies are monitored for change and can be disabled.","Teams know when an integration changes behavior, permissions, or availability. They can suspend a connection quickly without disabling unrelated capabilities.",1,
D6,Runtime security,D6Q1,"Runtime controls detect and constrain unsafe requests, tool use, and sensitive output.","Controls are applied while the system is operating, including input handling, action authorization, output protection, and stopping conditions. Alerts lead to an owned response path.",2,
D6,Runtime security,D6Q2,"Security-relevant AI events are logged, correlated, and triaged.","Logs support investigation of access, configuration, prompts or actions as appropriate to the risk and privacy requirements. The operating team has clear intake, severity, and escalation procedures.",1,
D6,Runtime security,D6Q3,"Runtime security controls are tested safely and their limitations are understood.","Authorized tests confirm controls work in representative conditions and identify expected blind spots. Findings are assigned, tracked, and reflected in operating guidance.",1,
D7,Evaluation / release,D7Q1,"Representative quality and safety evaluations are completed before release.","Evaluation cases reflect intended tasks, users, data conditions, tools, and unacceptable outcomes. Thresholds and limitations are reviewed by accountable roles before release.",2,
