domain,domain_name,question_id,question,concept_explanation,weight,score
D0,Operating model & governance,D0Q1,"An AI governance owner / AI CoE exists with executive sponsorship.","A named governance lead coordinates decisions across security, data, identity, platform, and product teams. Executive sponsorship gives that role authority to resolve priorities, fund remediation, and accept residual risk.",2,
D0,Operating model & governance,D0Q2,"AI use cases are inventoried and risk-classified before build.","The organization records each proposed agent, its business purpose, data, tools, autonomy, owner, and risk before implementation. This makes governance proportionate and prevents unmanaged agents from appearing after release.",1,
D0,Operating model & governance,D0Q3,"Responsible AI principles are documented and applied as review gates.","Principles become operational only when a team uses them to make repeatable go/no-go decisions. A review gate identifies the evidence, approver, exception path, and expiry date for a particular risk decision.",1,
D1,Identity & access,D1Q1,"Every AI agent has a first-class identity (Entra Agent ID), not a shared app/service principal.","A dedicated non-human identity makes an agent's access, ownership, and activity distinguishable from other applications. Shared credentials make it difficult to apply least privilege, investigate events, or decommission one agent safely.",2,
D1,Identity & access,D1Q2,"Every agent has a named human sponsor accountable for its lifecycle.","A sponsor owns the business purpose, access justification, review cadence, and retirement decision for an agent. Technical ownership alone does not establish who accepts the business and risk consequences of its actions.",1,
D1,Identity & access,D1Q3,"Conditional Access and least-privilege access packages apply to agents.","Agents should receive only the permissions, networks, and authentication conditions needed for their approved tasks. Access policies should be observable first and changed through an approved rollback-aware process.",1,
D2,Data & compliance,D2Q1,"Sensitivity labels and DLP govern what data AI/agents can access and return.","Classification identifies which data needs protection, while DLP constrains risky sharing or exfiltration paths. Both input and output paths matter because an agent can retrieve sensitive information and expose it through a response or tool.",2,
D2,Data & compliance,D2Q2,"DSPM for AI surfaces oversharing/exfiltration risk for AI apps and agents.","Data Security Posture Management helps teams find sensitive data exposure, excessive permissions, and risky AI data paths. It informs prioritization; it does not replace an owner deciding how to remediate a finding.",1,
D2,Data & compliance,D2Q3,"AI interactions are captured in audit logs and discoverable (eDiscovery).","The organization can locate relevant agent interactions and administrative changes for investigation, retention, and legal processes. Logging must have an owner, retention policy, and known privacy/classification treatment.",1,
D3,Security posture & runtime,D3Q1,"AI workloads are discovered and posture-assessed (Defender AI-SPM / AI-BOM).","A current inventory of AI resources, dependencies, and exposures is the basis for security prioritization. Posture findings should be assigned to owners and tracked to a decision rather than treated as an unbounded dashboard.",2,
D3,Security posture & runtime,D3Q2,"Runtime threat protection and Prompt Shields defend against injection/jailbreak.","Runtime controls help detect or constrain unsafe prompts, tool use, and model interactions while requests are being processed. They must be tested on an approved non-production path and paired with a response process.",1,
D3,Security posture & runtime,D3Q3,"AI security alerts are correlated in the SOC (Defender XDR).","Signals are useful only when the SOC can receive, correlate, triage, and escalate them. The team needs an alert owner, intake queue, severity expectations, and an authorized-test annotation process.",1,
D4,Quality & safety evaluation,D4Q1,"Agents/models are evaluated for quality and safety before deployment.","Representative cases make expected behavior measurable before a change reaches users. The evaluation should cover the agent's actual tasks, safety boundaries, retrieval/tool behavior, and unacceptable outcomes.",2,
D4,Quality & safety evaluation,D4Q2,"Evaluation runs as a CI/CD gate on changes.","A repeatable pipeline compares a proposed change with agreed thresholds and reports regressions before release. Teams normally start report-only, tune false positives, and document exceptions before making a gate blocking.",1,
D4,Quality & safety evaluation,D4Q3,"Continuous evaluation monitors production for drift/regression.","Production observations can reveal new intents, data conditions, or behavior changes that were absent from pre-release cases. Privacy-reviewed findings should feed the next evaluation dataset and operating backlog.",1,
D5,Adversarial testing,D5Q1,"AI systems are red-teamed (automated and/or manual) before release.","Authorized testing checks how an agent behaves under realistic misuse attempts, not just normal inputs. It requires written scope, a customer-owned non-production target, stop conditions, SOC coordination, and remediation ownership.",2,
D5,Adversarial testing,D5Q2,"Attack Success Rate is tracked over time as a break-fix metric.","Attack Success Rate measures how often a defined attack category achieves its objective. Tracking it against agreed thresholds shows whether mitigations reduce a known risk and where further remediation is needed.",1,
D5,Adversarial testing,D5Q3,"Indirect prompt injection (XPIA) is specifically tested for agents.","Indirect injection places hostile instructions in content an agent retrieves or processes, such as a document or web page. Agents with retrieval and tools need tests that confirm untrusted content is treated as data rather than authority.",1,
D6,Control plane & operationalization,D6Q1,"A registry provides a single source of truth for all agents (incl. shadow agents).","A reconciled inventory links each agent to an owner, identity, lifecycle state, platform path, and governance record. Comparing multiple inventories helps identify agents that are unmanaged or missing from a control plane.",2,
D6,Control plane & operationalization,D6Q2,"Agent lifecycle (onboard→monitor→decommission) is centrally managed.","Lifecycle management makes approval, onboarding, review, suspension, and decommissioning repeatable. It includes removing access and records when an agent changes purpose or reaches end of life.",1,
D6,Control plane & operationalization,D6Q3,"Governance posture is measured and reported to leadership.","Leadership receives a decision-ready view of control state, evidence, open risks, ownership, and progress over time. The goal is an operating cadence and prioritised backlog, not a one-time compliance score.",1,
